fooling_rate,step,time_elapsed,uap,uap_step,uap_time_elapsed
0.07,0,15.059319913000309,0,1,
0.075,1,4.249690575999921,0,2,
0.015,2,6.204494040999634,0,3,
0.22,3,5.144187309000245,0,4,
,3,,,,30.731730655999854
0.085,4,11.014144704000046,1,1,
0.715,5,4.353113355999994,1,2,
,5,,,,15.43493442099998
0.0,6,4.790921170999809,2,1,
0.27,7,5.28389319300004,2,2,
,7,,,,10.138760720999926
0.055,8,4.56411953199995,3,1,
0.0,9,4.917857871999786,3,2,
0.205,10,6.8688280450001,3,3,
,10,,,,16.41687341900024
0.05,11,5.198432416999822,4,1,
0.195,12,5.25190327700011,4,2,
0.005,13,7.221944144999725,4,3,
0.01,14,8.822677570999986,4,4,
0.07,15,4.282054100000096,4,5,
0.015,16,10.318961473999934,4,6,
0.185,17,9.96137963199999,4,7,
0.75,18,15.059031104000042,4,8,
,18,,,,66.20385599400015
