fooling_rate,step,time_elapsed,uap,uap_step,uap_time_elapsed
0.095,0,47.507508747999964,0,1,
0.18,1,55.89088467699912,0,2,
0.255,2,63.49451981099992,0,3,
,2,,,,167.05173093699977
0.095,3,56.702902281000206,1,1,
0.22,4,57.68005651800013,1,2,
,4,,,,114.55904044200088
0.25,5,57.511008948999915,2,1,
,5,,,,57.69138955300059
0.09,6,64.98583441899973,3,1,
0.08,7,63.965540692000104,3,2,
0.225,8,56.02550369799974,3,3,
,8,,,,185.17382233100034
0.255,9,52.26081546000023,4,1,
,9,,,,52.438911840999936
