fooling_rate,step,time_elapsed,uap,uap_step,uap_time_elapsed
0.045,0,46.76922476300024,0,1,
0.12,1,46.89908927000033,0,2,
0.06,2,54.7168705439999,0,3,
0.225,3,54.49011838399929,0,4,
,3,,,,203.08141669600082
0.155,4,53.07394878299965,1,1,
0.105,5,47.900503602000754,1,2,
0.295,6,56.509417770001164,1,3,
,6,,,,157.6793303760005
0.33,7,58.556946460999825,2,1,
,7,,,,58.742371450000064
0.04,8,57.696950153000216,3,1,
0.05,9,45.043246339999314,3,2,
0.43,10,42.992674232000354,3,3,
,10,,,,145.93673646300158
0.195,11,43.189462733000255,4,1,
0.13,12,54.43546007600162,4,2,
0.025,13,57.679800691999844,4,3,
0.33,14,56.954936566999095,4,4,
,14,,,,212.46434310800032
