epoch,step,train_BinaryAUROC,train_BinaryAccuracy,train_BinaryF1Score,train_BinaryPrecision,train_BinaryRecall,train_BinarySpecificity,train_loss,val_BinaryAUROC,val_BinaryAccuracy,val_BinaryF1Score,val_BinaryPrecision,val_BinaryRecall,val_BinarySpecificity,val_loss
0,88,,,,,,,,0.9031846523284912,0.7977103590965271,0.8249591588973999,0.7276166677474976,0.952369749546051,0.6427221298217773,0.4846269488334656
0,88,0.0,0.9701335430145264,0.9848403930664062,1.0,0.9701335430145264,0.0,0.11474326252937317,,,,,,,
1,177,,,,,,,,0.9038009643554688,0.7967662215232849,0.8246078491210938,0.7258382439613342,0.9544918537139893,0.6387050747871399,0.4858030378818512
1,177,0.0,0.9747013449668884,0.9871886372566223,1.0,0.9747013449668884,0.0,0.1099708303809166,,,,,,,
2,266,,,,,,,,0.9015649557113647,0.7932255268096924,0.8230660557746887,0.719837486743927,0.9608582854270935,0.6252362728118896,0.504843533039093
2,266,0.0,0.9789177775382996,0.9893465638160706,1.0,0.9789177775382996,0.0,0.1024245172739029,,,,,,,
3,355,,,,,,,,0.9014752507209778,0.7940517067909241,0.8230043649673462,0.7221431136131287,0.9566140174865723,0.6311436891555786,0.4945993423461914
3,355,0.0,0.9764581918716431,0.9880889058113098,1.0,0.9764581918716431,0.0,0.10150764137506485,,,,,,,
4,444,,,,,,,,0.9015578627586365,0.7899209260940552,0.8208174109458923,0.7161426544189453,0.9613298773765564,0.6181474328041077,0.5071095824241638
4,444,0.0,0.9852424263954163,0.9925663471221924,1.0,0.9852424263954163,0.0,0.0925939530134201,,,,,,,
5,533,,,,,,,,0.8981648683547974,0.7882686257362366,0.8195896744728088,0.714536190032959,0.9608582854270935,0.6153119206428528,0.5181370377540588
5,533,0.0,0.9873506426811218,0.9936350584030151,1.0,0.9873506426811218,0.0,0.08741163462400436,,,,,,,
6,622,,,,,,,,0.8974857330322266,0.7767024636268616,0.8131911754608154,0.6995074152946472,0.9709973931312561,0.581994354724884,0.559825599193573
6,622,0.0,0.9848910570144653,0.9923880100250244,1.0,0.9848910570144653,0.0,0.08397294580936432,,,,,,,
7,711,,,,,,,,0.8949243426322937,0.7724536657333374,0.8100866675376892,0.695652186870575,0.9695826172828674,0.5749054551124573,0.563326895236969
7,711,0.0,0.9845396876335144,0.9922096133232117,1.0,0.9845396876335144,0.0,0.08200042694807053,,,,,,,
8,800,,,,,,,,0.8968636989593506,0.7711554169654846,0.8095471858978271,0.6937710642814636,0.9717047810554504,0.5701795816421509,0.5688344240188599
8,800,0.0,0.98664790391922,0.9932790994644165,1.0,0.98664790391922,0.0,0.07481127977371216,,,,,,,
9,889,,,,,,,,0.9016803503036499,0.7702112793922424,0.8091363310813904,0.692449688911438,0.9731195569038391,0.5668714642524719,0.5618942975997925
9,889,0.0,0.9877020120620728,0.9938129782676697,1.0,0.9877020120620728,0.0,0.07441257685422897,,,,,,,
10,978,,,,,,,,0.9001631736755371,0.772689700126648,0.8111023902893066,0.6943745017051697,0.9750058650970459,0.5699433088302612,0.5666518807411194
10,978,0.0,0.9915671348571777,0.9957656860351562,1.0,0.9915671348571777,0.0,0.06922703236341476,,,,,,,
11,1067,,,,,,,,0.901038646697998,0.7600613832473755,0.803403913974762,0.6809836030006409,0.9794859886169434,0.5401701331138611,0.5999723076820374
11,1067,0.0,0.9926212430000305,0.9962969422340393,1.0,0.9926212430000305,0.0,0.06302742660045624,,,,,,,
12,1156,,,,,,,,0.8968026638031006,0.7606514692306519,0.8033359050750732,0.6822599172592163,0.976656436920166,0.5441871285438538,0.5900403261184692
12,1156,0.0,0.9936753511428833,0.9968276619911194,1.0,0.9936753511428833,0.0,0.06309802085161209,,,,,,,
13,1245,,,,,,,,0.897379457950592,0.7493214011192322,0.7967075109481812,0.6705332398414612,0.9813722968101501,0.5167769193649292,0.630121111869812
13,1245,0.0,0.9940267205238342,0.9970043897628784,1.0,0.9940267205238342,0.0,0.05974971875548363,,,,,,,
14,1334,,,,,,,,0.8979122638702393,0.7455446720123291,0.7947057485580444,0.6665069460868835,0.983966052532196,0.5066162347793579,0.6533198952674866
14,1334,0.0,0.995080828666687,0.9975343346595764,1.0,0.995080828666687,0.0,0.054597705602645874,,,,,,,
15,1423,,,,,,,,0.8930724859237671,0.7361029386520386,0.7885379195213318,0.6582977771759033,0.9830228686332703,0.4886578321456909,0.6579201221466064
15,1423,0.0,0.9954321980476379,0.9977108836174011,1.0,0.9954321980476379,0.0,0.051479484885931015,,,,,,,
16,1512,,,,,,,,0.8987172245979309,0.7385813593864441,0.7905437350273132,0.6599305272102356,0.9856166243553162,0.4910207986831665,0.6647521257400513
16,1512,0.0,0.9947294592857361,0.9973577857017517,1.0,0.9947294592857361,0.0,0.0496879443526268,,,,,,,
17,1601,,,,,,,,0.8942744731903076,0.7307919263839722,0.7856807112693787,0.6530771851539612,0.9858524203300476,0.4751890301704407,0.6915996074676514
17,1601,0.0,0.9971890449523926,0.9985925555229187,1.0,0.9971890449523926,0.0,0.04437112808227539,,,,,,,
18,1690,,,,,,,,0.8953293561935425,0.7215862274169922,0.7802924513816833,0.6448583602905273,0.9877387285232544,0.4548676609992981,0.7164930105209351
18,1690,0.0,0.9964863061904907,0.998240053653717,1.0,0.9964863061904907,0.0,0.04392869025468826,,,,,,,
19,1779,,,,,,,,0.8959314823150635,0.7225303649902344,0.7808742523193359,0.645653486251831,0.9877387285232544,0.4567580223083496,0.7185119986534119
19,1779,0.0,0.9982431530952454,0.999120831489563,1.0,0.9982431530952454,0.0,0.03869437426328659,,,,,,,
20,1868,,,,,,,,0.8944176435470581,0.719579815864563,0.779346227645874,0.6428681015968323,0.9893893003463745,0.44919660687446594,0.7336236238479614
20,1868,0.0,0.9975404143333435,0.99876868724823,1.0,0.9975404143333435,0.0,0.038432974368333817,,,,,,,
