epoch,step,train_BinaryAUROC,train_BinaryAccuracy,train_BinaryF1Score,train_BinaryPrecision,train_BinaryRecall,train_BinarySpecificity,train_loss,val_BinaryAUROC,val_BinaryAccuracy,val_BinaryF1Score,val_BinaryPrecision,val_BinaryRecall,val_BinarySpecificity,val_loss
0,61,,,,,,,,0.9996885657310486,0.9720279574394226,0.9840637445449829,0.9686274528503418,1.0,0.7948718070983887,0.06516582518815994
0,61,0.0,0.9994952082633972,0.9997475147247314,1.0,0.9994952082633972,0.0,0.0031380995642393827,,,,,,,
1,123,,,,,,,,0.9997404217720032,0.9702796936035156,0.9830845594406128,0.9667319059371948,1.0,0.7820512652397156,0.07660918682813644
1,123,0.0,0.9994952082633972,0.9997475147247314,1.0,0.9994952082633972,0.0,0.0013963142409920692,,,,,,,
2,185,,,,,,,,0.9996625185012817,0.9562937021255493,0.9753208160400391,0.9518304467201233,1.0,0.6794871687889099,0.10086289793252945
2,185,0.0,1.0,1.0,1.0,1.0,0.0,0.0009531363612040877,,,,,,,
3,247,,,,,,,,0.9997145533561707,0.9493007063865662,0.9714847803115845,0.9445506930351257,1.0,0.6282051205635071,0.1293301284313202
3,247,0.0,0.9994952082633972,0.9997475147247314,1.0,0.9994952082633972,0.0,0.002183066913858056,,,,,,,
4,309,,,,,,,,0.9996626377105713,0.9510489702224731,0.9724409580230713,0.946360170841217,1.0,0.6410256624221802,0.11827583611011505
4,309,0.0,0.9994952082633972,0.9997475147247314,1.0,0.9994952082633972,0.0,0.0013148064026609063,,,,,,,
5,371,,,,,,,,0.9996626377105713,0.9475524425506592,0.9705304503440857,0.9427480697631836,1.0,0.6153846383094788,0.1321660578250885
5,371,0.0,1.0,1.0,1.0,1.0,0.0,0.000562675588298589,,,,,,,
6,433,,,,,,,,0.9996366500854492,0.9475524425506592,0.9705304503440857,0.9427480697631836,1.0,0.6153846383094788,0.13547611236572266
6,433,0.0,1.0,1.0,1.0,1.0,0.0,0.00046895811101421714,,,,,,,
7,495,,,,,,,,0.9996107220649719,0.938811182975769,0.965786874294281,0.9338374137878418,1.0,0.5512820482254028,0.157785102725029
7,495,0.0,1.0,1.0,1.0,1.0,0.0,0.000364037201507017,,,,,,,
8,557,,,,,,,,0.9994809627532959,0.938811182975769,0.965786874294281,0.9338374137878418,1.0,0.5512820482254028,0.1677948385477066
8,557,0.0,1.0,1.0,1.0,1.0,0.0,0.00048482100828550756,,,,,,,
9,619,,,,,,,,0.9993771314620972,0.9353147149085999,0.9639024138450623,0.930320143699646,1.0,0.5256410241127014,0.18531237542629242
9,619,0.0,1.0,1.0,1.0,1.0,0.0,0.00039464005385525525,,,,,,,
10,681,,,,,,,,0.9992474317550659,0.9318181872367859,0.9620253443717957,0.9268292784690857,1.0,0.5,0.20081350207328796
10,681,0.0,1.0,1.0,1.0,1.0,0.0,0.00024389011377934366,,,,,,,
11,743,,,,,,,,0.9991954565048218,0.9160839319229126,0.953667938709259,0.9114391207695007,1.0,0.38461539149284363,0.23305170238018036
11,743,0.0,0.9994952082633972,0.9997475147247314,1.0,0.9994952082633972,0.0,0.0009668240090832114,,,,,,,
12,805,,,,,,,,0.9988840222358704,0.9195803999900818,0.9555125832557678,0.914814829826355,1.0,0.41025641560554504,0.25244179368019104
12,805,0.0,1.0,1.0,1.0,1.0,0.0,0.00035151702468283474,,,,,,,
13,867,,,,,,,,0.9992473721504211,0.9160839319229126,0.953667938709259,0.9114391207695007,1.0,0.38461539149284363,0.22926530241966248
13,867,0.0,1.0,1.0,1.0,1.0,0.0,0.00019444702775217593,,,,,,,
14,929,,,,,,,,0.9991954565048218,0.9143356680870056,0.9527482986450195,0.909760594367981,1.0,0.3717948794364929,0.23726654052734375
14,929,0.0,1.0,1.0,1.0,1.0,0.0,0.00018223983352072537,,,,,,,
15,991,,,,,,,,0.9989359378814697,0.9125874042510986,0.9518304467201233,0.908088207244873,1.0,0.3589743673801422,0.26679137349128723
15,991,0.0,1.0,1.0,1.0,1.0,0.0,0.0002289641706738621,,,,,,,
16,1053,,,,,,,,0.9990397691726685,0.9125874042510986,0.9518304467201233,0.908088207244873,1.0,0.3589743673801422,0.2454904317855835
16,1053,0.0,1.0,1.0,1.0,1.0,0.0,0.00017606305482331663,,,,,,,
17,1115,,,,,,,,0.9990139007568359,0.9125874042510986,0.9518304467201233,0.908088207244873,1.0,0.3589743673801422,0.2517768442630768
17,1115,0.0,1.0,1.0,1.0,1.0,0.0,0.00017088720051106066,,,,,,,
18,1177,,,,,,,,0.9858818650245667,0.9055944085121155,0.9481765627861023,0.9014598727226257,1.0,0.3076923191547394,0.3170231580734253
18,1177,0.0,1.0,1.0,1.0,1.0,0.0,0.0001659983245190233,,,,,,,
19,1239,,,,,,,,0.9988840818405151,0.9090909361839294,0.949999988079071,0.9047619104385376,1.0,0.3333333432674408,0.2807493805885315
19,1239,0.0,1.0,1.0,1.0,1.0,0.0,0.0001653740182518959,,,,,,,
20,1301,,,,,,,,0.9924478530883789,0.9090909361839294,0.949999988079071,0.9047619104385376,1.0,0.3333333432674408,0.3090432286262512
20,1301,0.0,1.0,1.0,1.0,1.0,0.0,0.00020256500283721834,,,,,,,
