fooling_rate,step,time_elapsed,uap,uap_step,uap_time_elapsed
0.0,0,427.0732936639997,0,1,
0.26,1,223.77154455599975,0,2,
,1,,,,651.0338062909996
0.0,2,468.0878539180003,1,1,
0.215,3,223.67172988699986,1,2,
,3,,,,691.9547227069997
0.025,4,424.7164944879996,2,1,
0.045,5,318.7762283909997,2,2,
0.05,6,321.1373012040003,2,3,
0.03,7,340.38531438500013,2,4,
0.04,8,339.7841717700003,2,5,
0.015,9,363.53455180400033,2,6,
0.035,10,374.9504846130003,2,7,
0.04,11,299.8297701219999,2,8,
0.405,12,251.22721780699976,2,9,
,12,,,,3034.5702783139996
0.0,13,389.52431896799953,3,1,
0.07,14,316.37428977799937,3,2,
0.15,15,284.8991866860015,3,3,
0.125,16,249.58407408399944,3,4,
0.16,17,246.84464721899894,3,5,
0.265,18,223.59479881799962,3,6,
,18,,,,1711.028046321001
0.105,19,291.0154509839995,4,1,
0.135,20,257.25543871099944,4,2,
0.115,21,263.94778733100065,4,3,
0.095,22,256.35521528199934,4,4,
0.245,23,229.33000996100054,4,5,
,23,,,,1298.110757085
