fooling_rate,step,time_elapsed,uap,uap_step,uap_time_elapsed
0.475,0,24.131052986000213,0,1,
0.545,1,19.572568956000396,0,2,
,1,,,,43.86777680999876
0.495,2,24.59026916900075,1,1,
0.55,3,20.687590943000032,1,2,
,3,,,,45.44500933699965
0.48,4,24.704928203000236,2,1,
0.57,5,19.93972897399908,2,2,
,5,,,,44.810709291999956
0.47,6,24.745854302000225,3,1,
0.54,7,19.799003625001205,3,2,
,7,,,,44.70240923399979
0.475,8,24.39344763400004,4,1,
0.53,9,20.12272416400083,4,2,
,9,,,,44.67966489799983
