fooling_rate,step,time_elapsed,uap,uap_step,uap_time_elapsed
0.1,0,46.411631221999414,0,1,
0.185,1,41.837185970000064,0,2,
0.225,2,63.11778143999982,0,3,
,2,,,,151.56154803400023
0.15,3,54.58210904999942,1,1,
0.14,4,46.505096938999486,1,2,
0.42,5,50.83957800999997,1,3,
,5,,,,152.12644681200072
0.3,6,53.27340265800012,2,1,
,6,,,,53.466476100000364
0.075,7,56.44790279600056,3,1,
0.06,8,50.67773160300021,3,2,
0.38,9,50.754996633999326,3,3,
,9,,,,158.08477299399965
0.29,10,46.968238718000066,4,1,
,10,,,,47.16354799100009
