fooling_rate,step,time_elapsed,uap,uap_step,uap_time_elapsed
0.46,0,23.915800337999826,0,1,
0.49,1,19.779436122000334,0,2,
0.54,2,20.23280722799973,0,3,
,2,,,,64.07620608600064
0.47,3,23.600826286000483,1,1,
0.53,4,18.24294012199971,1,2,
,4,,,,42.020349245000034
0.45,5,23.796720267000637,2,1,
0.495,6,19.180545616000018,2,2,
0.52,7,19.565069703000518,2,3,
,7,,,,62.69978255099977
0.49,8,23.39728259399999,3,1,
0.54,9,18.367697403999955,3,2,
,9,,,,41.93096610199973
0.475,10,23.671130591999827,4,1,
0.53,11,19.4022773329998,4,2,
,11,,,,43.235232828000335
