fooling_rate,step,time_elapsed,uap,uap_step,uap_time_elapsed
0.01,0,13.287308295000003,0,1,
0.285,1,13.487971937000111,0,2,
,1,,,,26.91688807799983
0.145,2,17.264642198000047,1,1,
0.04,3,20.941135970000005,1,2,
0.545,4,13.325293424000165,1,3,
,4,,,,51.696704086999944
0.0,5,14.477854094000122,2,1,
0.425,6,15.621414171999959,2,2,
,6,,,,30.276644917000112
0.085,7,13.25351791800017,3,1,
0.02,8,18.190556601000026,3,2,
0.445,9,20.985606725000025,3,3,
,9,,,,52.608673726999996
0.015,10,16.651962274000198,4,1,
0.07,11,15.060023426000043,4,2,
0.08,12,16.55709588400009,4,3,
0.26,13,28.20152503500003,4,4,
,13,,,,76.64703077900003
