fooling_rate,step,time_elapsed,uap,uap_step,uap_time_elapsed
0.06,0,48.33794362900153,0,1,
0.055,1,35.179539368000405,0,2,
0.155,2,43.154885569001635,0,3,
0.045,3,40.65678819999812,0,4,
0.095,4,68.61177335899993,0,5,
0.105,5,57.57861433200014,0,6,
0.425,6,55.645670843001426,0,7,
,6,,,,349.2550066759977
0.04,7,43.903490655000496,1,1,
0.075,8,37.22403007799949,1,2,
0.06,9,54.79008278300171,1,3,
0.305,10,54.40917136599819,1,4,
,10,,,,190.4070972619993
0.14,11,50.210482708997006,2,1,
0.23,12,46.9339263979964,2,2,
,12,,,,97.21869972700006
0.265,13,46.51966640899991,3,1,
,13,,,,46.58503642600044
0.235,14,61.06716785000026,4,1,
,14,,,,61.14456766400326
