fooling_rate,step,time_elapsed,uap,uap_step,uap_time_elapsed
0.22,0,20.865589615998033,0,1,
0.24,1,17.877743802000623,0,2,
0.32,2,16.255231141996774,0,3,
0.28,3,15.32990111899926,0,4,
0.34,4,14.624639626999851,0,5,
0.32,5,13.992886989999533,0,6,
0.34,6,13.67736762200002,0,7,
0.36,7,13.193082033998508,0,8,
0.4,8,13.141726967998693,0,9,
0.4,9,12.908808390002378,0,10,
0.36,10,10.873494440998911,0,11,
0.4,11,8.628336008998303,0,12,
0.46,12,11.672692224001366,0,13,
0.42,13,12.909280861000298,0,14,
0.44,14,12.981916514003387,0,15,
0.38,15,12.604312453000603,0,16,
0.4,16,13.36043145900112,0,17,
0.44,17,13.475690800998564,0,18,
0.44,18,13.677253391000704,0,19,
0.52,19,13.456009629000619,0,20,
,19,,,,275.74762004100194
0.22,20,23.303839923999476,1,1,
0.24,21,12.370913812999788,1,2,
0.32,22,15.812117542001943,1,3,
0.4,23,14.825272981997841,1,4,
0.36,24,13.96210138099923,1,5,
0.38,25,13.634823417000007,1,6,
0.36,26,13.356191630999092,1,7,
0.38,27,12.964541970002756,1,8,
0.42,28,12.876312618998782,1,9,
0.46,29,12.846824105999985,1,10,
0.42,30,12.392956715000764,1,11,
0.44,31,12.509242160002032,1,12,
0.38,32,12.13949835600215,1,13,
0.44,33,12.191795458998968,1,14,
0.42,34,12.877211105998867,1,15,
0.46,35,12.678554501999315,1,16,
0.46,36,12.960457902998314,1,17,
0.44,37,13.025360371000716,1,18,
0.46,38,13.022070265000366,1,19,
0.44,39,13.541045531001146,1,20,
0.52,40,12.928676176001318,1,21,
,40,,,,286.47013601599974
