fooling_rate,step,time_elapsed,uap,uap_step,uap_time_elapsed
0.29,0,7.904527611000049,0,1,
0.4,1,6.080466175999845,0,2,
0.45,2,5.699994383000103,0,3,
0.45,3,5.896701273999952,0,4,
0.49,4,6.05613851499993,0,5,
0.49,5,6.358277997999721,0,6,
0.49,6,6.5579197580000255,0,7,
0.49,7,6.728605121999863,0,8,
0.48,8,6.335514328000045,0,9,
0.52,9,6.499234043999877,0,10,
,9,,,,64.2269141339998
0.29,10,8.004102469999907,1,1,
0.41,11,6.094843011999728,1,2,
0.45,12,5.996530354999777,1,3,
0.46,13,5.6428561709999485,1,4,
0.49,14,5.560255142999722,1,5,
0.47,15,5.913834643999962,1,6,
0.5,16,6.056229399000131,1,7,
,16,,,,43.38420015999964
0.3,17,8.221350863000225,2,1,
0.41,18,6.066613590000088,2,2,
0.48,19,5.651659939000183,2,3,
0.47,20,5.673737392000021,2,4,
0.47,21,6.245115245999841,2,5,
0.48,22,6.210083995000332,2,6,
0.48,23,6.4927380890003406,2,7,
0.48,24,6.6985434090001945,2,8,
0.48,25,6.818177607000052,2,9,
0.51,26,6.947090189999926,2,10,
,26,,,,65.1620292370003
0.27,27,7.871917789000236,3,1,
0.43,28,5.818132414000047,3,2,
0.46,29,5.74546366200002,3,3,
0.5,30,5.641135349999786,3,4,
,30,,,,25.178911949000394
0.27,31,7.878264315000251,4,1,
0.38,32,6.07957298700012,4,2,
0.47,33,5.9897196840001925,4,3,
0.47,34,6.105779165000058,4,4,
0.49,35,6.267054224999811,4,5,
0.48,36,6.170526383999913,4,6,
0.48,37,6.031160679000095,4,7,
0.46,38,6.720781964000253,4,8,
0.48,39,7.236169626999981,4,9,
0.49,40,6.567827591999958,4,10,
0.51,41,6.449334952000299,4,11,
,41,,,,71.63081352399968
