fooling_rate,step,time_elapsed,uap,uap_step,uap_time_elapsed
0.095,0,50.38390951099973,0,1,
0.05,1,56.80554287799896,0,2,
0.055,2,43.85172148200036,0,3,
0.03,3,42.0120141059997,0,4,
0.085,4,66.90372559499883,0,5,
0.13,5,73.07283116600047,0,6,
0.12,6,71.76989190399945,0,7,
0.08,7,45.07902603399998,0,8,
0.23,8,63.384126454999205,0,9,
,8,,,,513.3531851480002
0.08,9,71.53712282699962,1,1,
0.085,10,47.46733586799928,1,2,
0.45,11,60.48537005000071,1,3,
,11,,,,179.55168972299907
0.02,12,63.15712470499966,2,1,
0.105,13,49.50526908500069,2,2,
0.075,14,55.022061715000746,2,3,
0.165,15,61.4033052169998,2,4,
0.125,16,58.03703603300164,2,5,
0.145,17,46.121614776999195,2,6,
0.08,18,55.967237931001364,2,7,
0.145,19,70.28649855799995,2,8,
0.21,20,71.53244241100037,2,9,
,20,,,,531.1158130489985
0.095,21,63.829142818001856,3,1,
0.395,22,41.55803272599951,3,2,
,22,,,,105.45601004000127
0.23,23,51.82445525200092,4,1,
,23,,,,51.88039637900147
