fooling_rate,step,time_elapsed,uap,uap_step,uap_time_elapsed
0.06,0,47.76310563700099,0,1,
0.105,1,42.73347774099966,0,2,
0.205,2,57.63322126799903,0,3,
,2,,,,148.31811395799923
0.18,3,50.216494722999414,1,1,
0.25,4,47.388992738000525,1,2,
,4,,,,97.79914126999938
0.385,5,60.78883231300097,2,1,
,5,,,,60.98170923199905
0.115,6,53.48058808600035,3,1,
0.055,7,49.60839621500054,3,2,
0.315,8,41.447937025999636,3,3,
,8,,,,144.7452877099986
0.27,9,44.60860884699832,4,1,
,9,,,,44.80115479699998
