fooling_rate,step,time_elapsed,uap,uap_step,uap_time_elapsed
0.115,0,115.10404486499999,0,1,
0.37,1,101.77498358099996,0,2,
,1,,,,217.03774856799998
0.215,2,129.28080832600006,1,1,
,2,,,,129.46229927800005
0.075,3,161.699422701,2,1,
0.12,4,129.87730114299995,2,2,
0.245,5,111.37851749200001,2,3,
,5,,,,403.13431081099986
0.085,6,113.53589143599993,3,1,
0.095,7,159.88259708600003,3,2,
0.295,8,123.27228422400003,3,3,
,8,,,,396.86701150600015
0.115,9,96.9960968129999,4,1,
0.11,10,83.75054458999989,4,2,
0.31,11,127.24674910199997,4,3,
,11,,,,308.181675693
