fooling_rate,step,time_elapsed,uap,uap_step,uap_time_elapsed
0.29,0,7.975934007999967,0,1,
0.38,1,6.064113497999642,0,2,
0.49,2,5.523387485998683,0,3,
0.51,3,5.648126370000682,0,4,
,3,,,,25.316248574999918
0.29,4,7.905543572998795,1,1,
0.44,5,5.9447803009989,1,2,
0.48,6,4.701759723000578,1,3,
0.49,7,5.695736360999945,1,4,
0.5,8,5.65989172099944,1,5,
,8,,,,30.02256395800032
0.32,9,7.774179710999306,2,1,
0.38,10,6.135189824999543,2,2,
0.46,11,5.6498132510005235,2,3,
0.51,12,5.58845372200085,2,4,
,12,,,,25.263449662999847
0.34,13,7.817893140001615,3,1,
0.46,14,5.616371182000876,3,2,
0.5,15,5.400993224999183,3,3,
,15,,,,18.944122074000916
0.3,16,7.6562603269994725,4,1,
0.43,17,6.02478562899887,4,2,
0.49,18,5.507355773999734,4,3,
0.51,19,5.510889125000176,4,4,
,19,,,,24.811064875999364
