fooling_rate,step,time_elapsed,uap,uap_step,uap_time_elapsed
0.3,0,39.62655229700022,0,1,
,0,,,,39.79697744399982
0.04,1,35.896531657000196,1,1,
0.305,2,42.025256448000164,1,2,
,2,,,,78.09668237300002
0.06,3,33.393515375000334,2,1,
0.085,4,41.46225963999996,2,2,
0.05,5,42.81425816800038,2,3,
0.085,6,54.945650043000114,2,4,
0.21,7,36.12401794399966,2,5,
,7,,,,208.93424254399997
0.025,8,29.226717086999997,3,1,
0.245,9,43.65696527499995,3,2,
,9,,,,73.05789369400009
0.065,10,52.58791955300012,4,1,
0.06,11,50.87303452700007,4,2,
0.05,12,43.471545804000016,4,3,
0.105,13,44.413439533999735,4,4,
0.06,14,46.33707155000002,4,5,
0.075,15,47.04316354499997,4,6,
0.06,16,66.08378287000005,4,7,
0.085,17,39.869746947000294,4,8,
0.26,18,46.247693171000265,4,9,
,18,,,,437.1303776740001
