epoch,step,train_BinaryAUROC,train_BinaryAccuracy,train_BinaryF1Score,train_BinaryPrecision,train_BinaryRecall,train_BinarySpecificity,train_loss,val_BinaryAUROC,val_BinaryAccuracy,val_BinaryF1Score,val_BinaryPrecision,val_BinaryRecall,val_BinarySpecificity,val_loss
0,61,,,,,,,,0.9518841505050659,0.867132842540741,0.9285714030265808,0.8666666746139526,1.0,0.025641025975346565,0.5325571298599243
0,61,0.0,1.0,1.0,1.0,1.0,0.0,0.0007334884721785784,,,,,,,
1,123,,,,,,,,0.9529482126235962,0.867132842540741,0.9285714030265808,0.8666666746139526,1.0,0.025641025975346565,0.6037011742591858
1,123,0.0,1.0,1.0,1.0,1.0,0.0,0.0002826172858476639,,,,,,,
2,185,,,,,,,,0.9501453638076782,0.8653846383094788,0.9276995062828064,0.8651488423347473,1.0,0.012820512987673283,0.6552278995513916
2,185,0.0,1.0,1.0,1.0,1.0,0.0,0.00019082534709013999,,,,,,,
3,247,,,,,,,,0.9490294456481934,0.8636363744735718,0.9268292784690857,0.8636363744735718,1.0,0.0,0.6847668290138245
3,247,0.0,1.0,1.0,1.0,1.0,0.0,0.00015514282858930528,,,,,,,
4,309,,,,,,,,0.9483546018600464,0.8636363744735718,0.9268292784690857,0.8636363744735718,1.0,0.0,0.7187639474868774
4,309,0.0,1.0,1.0,1.0,1.0,0.0,0.00014141571591608226,,,,,,,
5,371,,,,,,,,0.9492889642715454,0.8636363744735718,0.9268292784690857,0.8636363744735718,1.0,0.0,0.7440218329429626
5,371,0.0,1.0,1.0,1.0,1.0,0.0,0.00013430565013550222,,,,,,,
6,433,,,,,,,,0.9496781826019287,0.8636363744735718,0.9268292784690857,0.8636363744735718,1.0,0.0,0.7511162161827087
6,433,0.0,1.0,1.0,1.0,1.0,0.0,0.00013078210758976638,,,,,,,
7,495,,,,,,,,0.9518192410469055,0.8636363744735718,0.9268292784690857,0.8636363744735718,1.0,0.0,0.7554501891136169
7,495,0.0,1.0,1.0,1.0,1.0,0.0,0.000128072701045312,,,,,,,
8,557,,,,,,,,0.9488606452941895,0.8636363744735718,0.9268292784690857,0.8636363744735718,1.0,0.0,0.7644068002700806
8,557,0.0,1.0,1.0,1.0,1.0,0.0,0.00012681230145972222,,,,,,,
9,619,,,,,,,,0.9531298279762268,0.8636363744735718,0.9268292784690857,0.8636363744735718,1.0,0.0,0.7731814384460449
9,619,0.0,1.0,1.0,1.0,1.0,0.0,0.00012591919221449643,,,,,,,
10,681,,,,,,,,0.9493667483329773,0.8636363744735718,0.9268292784690857,0.8636363744735718,1.0,0.0,0.787719190120697
10,681,0.0,1.0,1.0,1.0,1.0,0.0,0.00012507646169979125,,,,,,,
11,743,,,,,,,,0.9491851329803467,0.8636363744735718,0.9268292784690857,0.8636363744735718,1.0,0.0,0.7899911403656006
11,743,0.0,1.0,1.0,1.0,1.0,0.0,0.00012504812912084162,,,,,,,
12,805,,,,,,,,0.9475371241569519,0.8636363744735718,0.9268292784690857,0.8636363744735718,1.0,0.0,0.8020575642585754
12,805,0.0,1.0,1.0,1.0,1.0,0.0,0.00012450404756236821,,,,,,,
13,867,,,,,,,,0.9474722146987915,0.8636363744735718,0.9268292784690857,0.8636363744735718,1.0,0.0,0.8170429468154907
13,867,0.0,1.0,1.0,1.0,1.0,0.0,0.00012434474774636328,,,,,,,
14,929,,,,,,,,0.9457204341888428,0.8636363744735718,0.9268292784690857,0.8636363744735718,1.0,0.0,0.8149966597557068
14,929,0.0,1.0,1.0,1.0,1.0,0.0,0.00012459336721803993,,,,,,,
15,991,,,,,,,,0.9488477110862732,0.8636363744735718,0.9268292784690857,0.8636363744735718,1.0,0.0,0.810528576374054
15,991,0.0,1.0,1.0,1.0,1.0,0.0,0.0001240306592080742,,,,,,,
16,1053,,,,,,,,0.950067400932312,0.8636363744735718,0.9268292784690857,0.8636363744735718,1.0,0.0,0.8078610301017761
16,1053,0.0,1.0,1.0,1.0,1.0,0.0,0.00012419690028764307,,,,,,,
17,1115,,,,,,,,0.9474462866783142,0.8636363744735718,0.9268292784690857,0.8636363744735718,1.0,0.0,0.8252867460250854
17,1115,0.0,1.0,1.0,1.0,1.0,0.0,0.0001240695419255644,,,,,,,
18,1177,,,,,,,,0.950612485408783,0.8636363744735718,0.9268292784690857,0.8636363744735718,1.0,0.0,0.8153451681137085
18,1177,0.0,1.0,1.0,1.0,1.0,0.0,0.00012398870603647083,,,,,,,
19,1239,,,,,,,,0.9508979320526123,0.8636363744735718,0.9268292784690857,0.8636363744735718,1.0,0.0,0.8243870735168457
19,1239,0.0,1.0,1.0,1.0,1.0,0.0,0.0001237832329934463,,,,,,,
20,1301,,,,,,,,0.949587345123291,0.8636363744735718,0.9268292784690857,0.8636363744735718,1.0,0.0,0.8295424580574036
20,1301,0.0,1.0,1.0,1.0,1.0,0.0,0.00012378762767184526,,,,,,,
