fooling_rate,step,time_elapsed,uap,uap_step,uap_time_elapsed
0.165,0,243.61162848899994,0,1,
0.005,1,176.50595785399992,0,2,
0.34,2,221.169327652,0,3,
,2,,,,641.339933408
0.29,3,176.630010696,1,1,
,3,,,,176.68222690200014
0.035,4,202.80990017900012,2,1,
0.075,5,149.214206914,2,2,
0.36,6,204.15828314700002,2,3,
,6,,,,556.2415898999998
0.175,7,204.1429626449999,3,1,
0.18,8,178.23451614899977,3,2,
0.275,9,131.9705028819999,3,3,
,9,,,,514.4091182249999
0.0,10,250.82614104799995,4,1,
0.33,11,241.62449089599977,4,2,
,11,,,,492.5177573679998
