fooling_rate,step,time_elapsed,uap,uap_step,uap_time_elapsed
0.05,0,31.658843884999897,0,1,
0.11,1,28.521637100999897,0,2,
0.295,2,30.196723136999935,0,3,
,2,,,,90.55925413700015
0.27,3,26.129249025000036,1,1,
,3,,,,26.314829516999907
0.14,4,27.11858441900017,2,1,
0.16,5,27.09437916900015,2,2,
0.325,6,36.588592656999936,2,3,
,6,,,,90.98958050400006
0.19,7,21.73064618500007,3,1,
0.275,8,21.6387681409999,3,2,
,8,,,,43.554593533000116
0.535,9,25.76890714000001,4,1,
,9,,,,25.951260233999847
