fooling_rate,step,time_elapsed,uap,uap_step,uap_time_elapsed
0.0,0,301.3420570669987,0,1,
0.0,1,303.8550153349988,0,2,
0.005,2,307.0169927679999,0,3,
0.0,3,293.655015149001,0,4,
0.065,4,219.22472784699858,0,5,
0.21,5,200.07023720800134,0,6,
,5,,,,1625.2358700530003
0.0,6,303.32004347099974,1,1,
0.095,7,199.48001033400033,1,2,
0.28,8,180.91743110900097,1,3,
,8,,,,683.7761294419997
0.0,9,312.49302896600057,2,1,
0.0,10,318.10712927200075,2,2,
0.0,11,316.32416638999894,2,3,
0.0,12,304.04531397400024,2,4,
0.18,13,202.93591481600015,2,5,
0.0,14,261.2519771080006,2,6,
0.315,15,249.72667213600107,2,7,
,15,,,,1964.955615701001
0.0,16,304.6590187689999,3,1,
0.085,17,234.45706851700015,3,2,
0.215,18,197.41530235900063,3,3,
,18,,,,736.5902945229991
0.0,19,318.23273296700063,4,1,
0.0,20,318.4126779720009,4,2,
0.0,21,316.10830260700095,4,3,
0.18,22,247.58301596799902,4,4,
0.0,23,298.0946636610006,4,5,
0.0,24,321.27511166399927,4,6,
0.2,25,253.71596904000035,4,7,
,25,,,,2073.4950975069987
