epoch,step,train_BinaryAUROC,train_BinaryAccuracy,train_BinaryF1Score,train_BinaryPrecision,train_BinaryRecall,train_BinarySpecificity,train_loss,val_BinaryAUROC,val_BinaryAccuracy,val_BinaryF1Score,val_BinaryPrecision,val_BinaryRecall,val_BinarySpecificity,val_loss
0,61,,,,,,,,0.9999221563339233,0.9947552680969238,0.9969727396965027,0.9939637780189514,1.0,0.9615384340286255,0.018799930810928345
0,61,0.0,0.9964664578437805,0.9982300996780396,1.0,0.9964664578437805,0.0,0.009302051737904549,,,,,,,
1,123,,,,,,,,0.9997923970222473,0.9930070042610168,0.9959677457809448,0.9919678568840027,1.0,0.9487179517745972,0.02582303248345852
1,123,0.0,0.9974760413169861,0.9987364411354065,1.0,0.9974760413169861,0.0,0.006220030598342419,,,,,,,
2,185,,,,,,,,0.9997923970222473,0.9842657446861267,0.9909729361534119,0.9821073412895203,1.0,0.8846153616905212,0.036992765963077545
2,185,0.0,0.9994952082633972,0.9997475147247314,1.0,0.9994952082633972,0.0,0.0032436272595077753,,,,,,,
3,247,,,,,,,,0.9997664093971252,0.9737762212753296,0.9850448369979858,0.9705304503440857,1.0,0.807692289352417,0.04858352243900299
3,247,0.0,0.9989904165267944,0.9994949698448181,1.0,0.9989904165267944,0.0,0.0026681991294026375,,,,,,,
4,309,,,,,,,,0.9997664093971252,0.9737762212753296,0.9850448369979858,0.9705304503440857,1.0,0.807692289352417,0.04987567290663719
4,309,0.0,0.9994952082633972,0.9997475147247314,1.0,0.9994952082633972,0.0,0.0021832622587680817,,,,,,,
5,371,,,,,,,,0.9997663497924805,0.9720279574394226,0.9840637445449829,0.9686274528503418,1.0,0.7948718070983887,0.0584990493953228
5,371,0.0,0.9994952082633972,0.9997475147247314,1.0,0.9994952082633972,0.0,0.0015365207800641656,,,,,,,
6,433,,,,,,,,0.9997145533561707,0.9615384340286255,0.9782178401947021,0.9573643207550049,1.0,0.7179487347602844,0.08232145011425018
6,433,0.0,0.9994952082633972,0.9997475147247314,1.0,0.9994952082633972,0.0,0.002405554288998246,,,,,,,
7,495,,,,,,,,0.9995588064193726,0.9562937021255493,0.9753208160400391,0.9518304467201233,1.0,0.6794871687889099,0.09592802822589874
7,495,0.0,1.0,1.0,1.0,1.0,0.0,0.0006756346556358039,,,,,,,
8,557,,,,,,,,0.9997145533561707,0.9650349617004395,0.9801587462425232,0.9610894918441772,1.0,0.7435897588729858,0.09310515969991684
8,557,0.0,0.9989904165267944,0.9994949698448181,1.0,0.9989904165267944,0.0,0.0015339698875322938,,,,,,,
9,619,,,,,,,,0.9996626377105713,0.9597902297973633,0.9772502183914185,0.9555125832557678,1.0,0.7051281929016113,0.09865234047174454
9,619,0.0,1.0,1.0,1.0,1.0,0.0,0.0007507600239478052,,,,,,,
10,681,,,,,,,,0.9995328187942505,0.9510489702224731,0.9724409580230713,0.946360170841217,1.0,0.6410256624221802,0.13119493424892426
10,681,0.0,1.0,1.0,1.0,1.0,0.0,0.000534095976036042,,,,,,,
11,743,,,,,,,,0.9995068907737732,0.9475524425506592,0.9705304503440857,0.9427480697631836,1.0,0.6153846383094788,0.14232675731182098
11,743,0.0,0.9994952082633972,0.9997475147247314,1.0,0.9994952082633972,0.0,0.0010025239316746593,,,,,,,
12,805,,,,,,,,0.9995068907737732,0.942307710647583,0.9676787257194519,0.937381386756897,1.0,0.5769230723381042,0.15277481079101562
12,805,0.0,1.0,1.0,1.0,1.0,0.0,0.00048678976600058377,,,,,,,
13,867,,,,,,,,0.9993771314620972,0.9353147149085999,0.9639024138450623,0.930320143699646,1.0,0.5256410241127014,0.17395715415477753
13,867,0.0,1.0,1.0,1.0,1.0,0.0,0.00033980110310949385,,,,,,,
14,929,,,,,,,,0.9995068907737732,0.938811182975769,0.965786874294281,0.9338374137878418,1.0,0.5512820482254028,0.1645718514919281
14,929,0.0,1.0,1.0,1.0,1.0,0.0,0.0003599416231736541,,,,,,,
15,991,,,,,,,,0.9994290471076965,0.938811182975769,0.965786874294281,0.9338374137878418,1.0,0.5512820482254028,0.17191258072853088
15,991,0.0,1.0,1.0,1.0,1.0,0.0,0.0003274127666372806,,,,,,,
16,1053,,,,,,,,0.9993512034416199,0.9300699234008789,0.9610894918441772,0.9250936508178711,1.0,0.4871794879436493,0.1783163696527481
16,1053,0.0,1.0,1.0,1.0,1.0,0.0,0.000287199072772637,,,,,,,
17,1115,,,,,,,,0.9992992877960205,0.9318181872367859,0.9620253443717957,0.9268292784690857,1.0,0.5,0.17858120799064636
17,1115,0.0,1.0,1.0,1.0,1.0,0.0,0.00025668824673630297,,,,,,,
18,1177,,,,,,,,0.9990656971931458,0.9248251914978027,0.9582929015159607,0.9199255108833313,1.0,0.44871795177459717,0.20175890624523163
18,1177,0.0,1.0,1.0,1.0,1.0,0.0,0.00030187229276634753,,,,,,,
19,1239,,,,,,,,0.9991176128387451,0.9265734553337097,0.9592233300209045,0.9216417670249939,1.0,0.4615384638309479,0.20040354132652283
19,1239,0.0,1.0,1.0,1.0,1.0,0.0,0.0003033204993698746,,,,,,,
20,1301,,,,,,,,0.9988061785697937,0.9195803999900818,0.9555125832557678,0.914814829826355,1.0,0.41025641560554504,0.2385193109512329
20,1301,0.0,1.0,1.0,1.0,1.0,0.0,0.00020805960230063647,,,,,,,
