epoch,step,train_BinaryAUROC,train_BinaryAccuracy,train_BinaryF1Score,train_BinaryPrecision,train_BinaryRecall,train_BinarySpecificity,train_loss,val_BinaryAUROC,val_BinaryAccuracy,val_BinaryF1Score,val_BinaryPrecision,val_BinaryRecall,val_BinarySpecificity,val_loss
0,61,,,,,,,,0.9851552248001099,0.9650349617004395,0.9801587462425232,0.9610894918441772,1.0,0.7435897588729858,0.12440026551485062
0,61,0.0,1.0,1.0,1.0,1.0,0.0,0.0008940966799855232,,,,,,,
1,123,,,,,,,,0.9978459477424622,0.9667832255363464,0.9811320900917053,0.9629629850387573,1.0,0.7564102411270142,0.09829818457365036
1,123,0.0,0.9994952082633972,0.9997475147247314,1.0,0.9994952082633972,0.0,0.0011690504616126418,,,,,,,
2,185,,,,,,,,0.9917471408843994,0.9667832255363464,0.9811320900917053,0.9629629850387573,1.0,0.7564102411270142,0.10846507549285889
2,185,0.0,0.9994952082633972,0.9997475147247314,1.0,0.9994952082633972,0.0,0.0007560878875665367,,,,,,,
3,247,,,,,,,,0.991565465927124,0.9632866978645325,0.9791873097419739,0.9592233300209045,1.0,0.7307692170143127,0.12688934803009033
3,247,0.0,1.0,1.0,1.0,1.0,0.0,0.0003178378683514893,,,,,,,
4,309,,,,,,,,0.9854146838188171,0.9632866978645325,0.9791873097419739,0.9592233300209045,1.0,0.7307692170143127,0.12640169262886047
4,309,0.0,1.0,1.0,1.0,1.0,0.0,0.0007034981972537935,,,,,,,
5,371,,,,,,,,0.9847918748855591,0.9580419659614563,0.9762845635414124,0.953667938709259,1.0,0.692307710647583,0.1926482617855072
5,371,0.0,1.0,1.0,1.0,1.0,0.0,0.00047755453852005303,,,,,,,
6,433,,,,,,,,0.9855964183807373,0.9597902297973633,0.9772502183914185,0.9555125832557678,1.0,0.7051281929016113,0.1452065110206604
6,433,0.0,1.0,1.0,1.0,1.0,0.0,0.0003434659156482667,,,,,,,
7,495,,,,,,,,0.9911632537841797,0.9597902297973633,0.9772502183914185,0.9555125832557678,1.0,0.7051281929016113,0.13997766375541687
7,495,0.0,1.0,1.0,1.0,1.0,0.0,0.00046265043783932924,,,,,,,
8,557,,,,,,,,0.9853368997573853,0.9510489702224731,0.9724409580230713,0.946360170841217,1.0,0.6410256624221802,0.1888282299041748
8,557,0.0,1.0,1.0,1.0,1.0,0.0,0.00024044880410656333,,,,,,,
9,619,,,,,,,,0.9917990565299988,0.9545454382896423,0.9743589758872986,0.949999988079071,1.0,0.6666666865348816,0.1559259444475174
9,619,0.0,1.0,1.0,1.0,1.0,0.0,0.00027265638345852494,,,,,,,
10,681,,,,,,,,0.9916303157806396,0.9580419659614563,0.9762845635414124,0.953667938709259,1.0,0.692307710647583,0.14501143991947174
10,681,0.0,1.0,1.0,1.0,1.0,0.0,0.00041182676795870066,,,,,,,
11,743,,,,,,,,0.9915913939476013,0.9562937021255493,0.9753208160400391,0.9518304467201233,1.0,0.6794871687889099,0.1593361496925354
11,743,0.0,1.0,1.0,1.0,1.0,0.0,0.00018685105897020549,,,,,,,
12,805,,,,,,,,0.9787060022354126,0.940559446811676,0.9667319059371948,0.935606062412262,1.0,0.5641025900840759,0.2018824815750122
12,805,0.0,1.0,1.0,1.0,1.0,0.0,0.0002552252262830734,,,,,,,
13,867,,,,,,,,0.9854666590690613,0.940559446811676,0.9667319059371948,0.935606062412262,1.0,0.5641025900840759,0.21322283148765564
13,867,0.0,1.0,1.0,1.0,1.0,0.0,0.0002165316545870155,,,,,,,
14,929,,,,,,,,0.9917082190513611,0.9440559148788452,0.9686274528503418,0.9391635060310364,1.0,0.5897436141967773,0.17253613471984863
14,929,0.0,1.0,1.0,1.0,1.0,0.0,0.0002054574288194999,,,,,,,
15,991,,,,,,,,0.9789785146713257,0.938811182975769,0.965786874294281,0.9338374137878418,1.0,0.5512820482254028,0.20992282032966614
15,991,0.0,1.0,1.0,1.0,1.0,0.0,0.0002134755632141605,,,,,,,
16,1053,,,,,,,,0.9850254654884338,0.9475524425506592,0.9705304503440857,0.9427480697631836,1.0,0.6153846383094788,0.1940596103668213
16,1053,0.0,1.0,1.0,1.0,1.0,0.0,0.00017380589270032942,,,,,,,
17,1115,,,,,,,,0.9855444431304932,0.9283216595649719,0.9601554870605469,0.9233644604682922,1.0,0.4743589758872986,0.21330849826335907
17,1115,0.0,1.0,1.0,1.0,1.0,0.0,0.00019762343436013907,,,,,,,
18,1177,,,,,,,,0.9789525270462036,0.9353147149085999,0.9639024138450623,0.930320143699646,1.0,0.5256410241127014,0.1980285942554474
18,1177,0.0,1.0,1.0,1.0,1.0,0.0,0.0002468890743330121,,,,,,,
19,1239,,,,,,,,0.9855444431304932,0.9335664510726929,0.9629629850387573,0.9285714030265808,1.0,0.5128205418586731,0.21730434894561768
19,1239,0.0,1.0,1.0,1.0,1.0,0.0,0.00015580188482999802,,,,,,,
20,1301,,,,,,,,0.9840133190155029,0.9283216595649719,0.9601554870605469,0.9233644604682922,1.0,0.4743589758872986,0.264294296503067
20,1301,0.0,1.0,1.0,1.0,1.0,0.0,0.0001579094387125224,,,,,,,
21,1363,,,,,,,,0.9729834794998169,0.9335664510726929,0.9629629850387573,0.9285714030265808,1.0,0.5128205418586731,0.2031846046447754
21,1363,0.0,1.0,1.0,1.0,1.0,0.0,0.0001524129038443789,,,,,,,
