fooling_rate,step,time_elapsed,uap,uap_step,uap_time_elapsed
0.045,0,38.85080074100006,0,1,
0.185,1,44.05306623400065,0,2,
0.075,2,55.73352459600028,0,3,
0.28,3,51.66500175799956,0,4,
,3,,,,190.4968265339994
0.08,4,51.508289638999486,1,1,
0.24,5,49.74530043900086,1,2,
,5,,,,101.45416845900036
0.42,6,56.00910507200024,2,1,
,6,,,,56.203399801999694
0.125,7,56.04461615100081,3,1,
0.065,8,42.9229481070015,3,2,
0.44,9,45.06081925599938,3,3,
,9,,,,144.22371066300002
0.285,10,41.82135768099943,4,1,
,10,,,,42.01694701299857
