fooling_rate,step,time_elapsed,uap,uap_step,uap_time_elapsed
0.13,0,341.55174225799965,0,1,
0.23,1,327.8179760229996,0,2,
,1,,,,669.4543222990014
0.015,2,341.0737385800003,1,1,
0.105,3,405.2670182319998,1,2,
0.165,4,337.6480964300008,1,3,
0.04,5,361.515021367999,1,4,
0.225,6,375.05804153200006,1,5,
,6,,,,1820.6584655499992
0.005,7,384.939312692999,2,1,
0.01,8,351.6071486870005,2,2,
0.195,9,308.6338855869999,2,3,
0.135,10,367.7733614389999,2,4,
0.305,11,357.26334797600066,2,5,
,11,,,,1770.3275307820004
0.145,12,343.5487182980014,3,1,
0.25,13,307.2895507279991,3,2,
,13,,,,650.9296556340014
0.0,14,372.74443304300075,4,1,
0.04,15,402.06731099100034,4,2,
0.09,16,400.70938473299975,4,3,
0.225,17,413.0819874740009,4,4,
,17,,,,1588.6959029750014
