fooling_rate,step,time_elapsed,uap,uap_step,uap_time_elapsed
0.27,0,8.31379214900005,0,1,
0.41,1,6.069290427999931,0,2,
0.42,2,6.150988467999923,0,3,
0.44,3,5.639716540000109,0,4,
0.46,4,6.017387016000043,0,5,
0.47,5,6.319357706999995,0,6,
0.49,6,6.435429769000052,0,7,
0.48,7,6.513861483000028,0,8,
0.49,8,6.745187627000064,0,9,
0.5,9,6.9617718340000465,0,10,
,9,,,,65.29013286099996
0.26,10,7.936405451999917,1,1,
0.41,11,6.081295363000095,1,2,
0.45,12,5.921108884999967,1,3,
0.47,13,5.936125280000056,1,4,
0.48,14,5.811367163,1,5,
0.48,15,6.235150921000013,1,6,
0.48,16,6.497866385000066,1,7,
0.47,17,6.591930646000037,1,8,
0.47,18,6.791462299000045,1,9,
0.47,19,6.978828175000103,1,10,
0.48,20,7.085451744000011,1,11,
0.48,21,7.4132050120000486,1,12,
0.48,22,7.002535027000022,1,13,
0.49,23,6.204996186000017,1,14,
0.49,24,6.607067344000029,1,15,
0.48,25,7.281059769999956,1,16,
0.49,26,6.630881664999947,1,17,
0.49,27,7.31524269099998,1,18,
0.49,28,6.875311777999968,1,19,
0.49,29,6.884301844999982,1,20,
0.49,30,7.005343401999994,1,21,
0.49,31,7.379952193000008,1,22,
0.49,32,7.2364990760000865,1,23,
0.5,33,7.288004788999956,1,24,
,33,,,,163.1493419960001
0.24,34,8.087773019999986,2,1,
0.4,35,6.09431547600002,2,2,
0.45,36,5.67776440099999,2,3,
0.48,37,5.97325131599996,2,4,
0.48,38,6.151233581000042,2,5,
0.49,39,6.191974699999946,2,6,
0.49,40,6.46361115000002,2,7,
0.49,41,6.691412704999948,2,8,
0.47,42,6.829965689000005,2,9,
0.49,43,7.127587199000004,2,10,
0.5,44,7.200199588000032,2,11,
,44,,,,72.61303336799995
0.27,45,8.246110753000039,3,1,
0.41,46,6.2880018749999635,3,2,
0.43,47,6.011482354999998,3,3,
0.47,48,6.162232236000023,3,4,
0.48,49,6.167720774999907,3,5,
0.49,50,6.1404884539999784,3,6,
0.48,51,6.603997021000055,3,7,
0.47,52,6.5876376019999725,3,8,
0.48,53,6.8940679749999845,3,9,
0.47,54,7.2993112189999465,3,10,
0.48,55,7.196210011000062,3,11,
0.48,56,7.404704225000046,3,12,
0.48,57,7.567284312999959,3,13,
0.5,58,7.616251839000029,3,14,
,58,,,,96.31620513400003
0.27,59,7.995766118000006,4,1,
0.41,60,6.28304191899997,4,2,
0.43,61,5.9749993570000015,4,3,
0.46,62,5.8086134780000975,4,4,
0.47,63,6.064968527000019,4,5,
0.49,64,6.193417540999917,4,6,
0.48,65,6.39975795700002,4,7,
0.5,66,6.685037169999987,4,8,
,66,,,,51.515085802000044
