fooling_rate,step,time_elapsed,uap,uap_step,uap_time_elapsed
0.035,0,50.02477188000012,0,1,
0.16,1,44.001218920999236,0,2,
0.31,2,64.76162844400096,0,3,
,2,,,,158.9983863289999
0.06,3,54.198848197998814,1,1,
0.23,4,45.357646766999096,1,2,
,4,,,,99.75077914400026
0.275,5,61.47936971299896,2,1,
,5,,,,61.67527538200011
0.04,6,56.03905915300129,3,1,
0.05,7,52.42246154500026,3,2,
0.385,8,46.11741447799977,3,3,
,8,,,,154.78224307900018
0.315,9,41.44824802999938,4,1,
,9,,,,41.64709531100016
