fooling_rate,step,time_elapsed,uap,uap_step,uap_time_elapsed
0.045,0,46.0968908850009,0,1,
0.07,1,47.15162150999822,0,2,
0.105,2,37.85382411499813,0,3,
0.11,3,46.40525074700054,0,4,
0.46,4,47.16114558800109,0,5,
,4,,,,224.75417249600287
0.125,5,42.072727367998596,1,1,
0.17,6,55.98480462400039,1,2,
0.225,7,48.06454376699912,1,3,
,7,,,,146.19994617400152
0.11,8,55.72850176499924,2,1,
0.4,9,40.99259767499825,2,2,
,9,,,,96.80918595799812
0.17,10,48.12981569999829,3,1,
0.25,11,35.721273024002585,3,2,
,11,,,,83.9250690709996
0.095,12,48.867344957998284,4,1,
0.085,13,48.26381750699875,4,2,
0.15,14,37.253757971000596,4,3,
0.135,15,38.51630562399805,4,4,
0.21,16,65.77249721400221,4,5,
,16,,,,238.75972381199972
