fooling_rate,step,time_elapsed,uap,uap_step,uap_time_elapsed
0.03,0,59.98627839799883,0,1,
0.07,1,57.189899925000645,0,2,
0.125,2,64.6824491840016,0,3,
0.155,3,66.32911251000041,0,4,
0.205,4,66.50600463400042,0,5,
,4,,,,314.78862936699807
0.065,5,67.42614131800292,1,1,
0.175,6,61.95169735899981,1,2,
0.05,7,62.25520903600045,1,3,
0.045,8,48.2346823600019,1,4,
0.18,9,65.34133507599836,1,5,
0.155,10,66.17233031599972,1,6,
0.07,11,75.85717087900048,1,7,
0.22,12,75.1736227040019,1,8,
,12,,,,522.5152152759983
0.12,13,67.51645004799866,2,1,
0.09,14,36.6143501919978,2,2,
0.135,15,68.23429557599957,2,3,
0.295,16,47.40049286800058,2,4,
,16,,,,219.864207892002
0.19,17,78.33462253700054,3,1,
0.37,18,29.480130523999833,3,2,
,18,,,,107.92020231599963
0.02,19,85.19508480299919,4,1,
0.035,20,48.25150690100054,4,2,
0.105,21,45.96947558199827,4,3,
0.255,22,42.96007959299823,4,4,
,22,,,,222.46962629100017
