fooling_rate,step,time_elapsed,uap,uap_step,uap_time_elapsed
0.005,0,13.337641425999664,0,1,
0.005,1,15.636864366999816,0,2,
0.035,2,15.662775196999974,0,3,
0.525,3,26.652175712999906,0,4,
,3,,,,71.4617262239999
0.245,4,14.378277464000348,1,1,
,4,,,,14.55156604099966
0.0,5,15.327849732000232,2,1,
0.375,6,14.174557478999759,2,2,
,6,,,,29.684380438000062
0.065,7,10.580932054999721,3,1,
0.105,8,16.9028402670001,3,2,
0.36,9,19.65631088200007,3,3,
,9,,,,47.322266124999715
0.6,10,14.069737235000048,4,1,
,10,,,,14.244516267000108
