fooling_rate,step,time_elapsed,uap,uap_step,uap_time_elapsed
0.175,0,164.2323947349978,0,1,
0.475,1,139.5012347940028,0,2,
,1,,,,303.7885434890013
0.055,2,173.29518949299745,1,1,
0.59,3,155.66334627200195,1,2,
,3,,,,329.02932694500123
0.35,4,166.99947187100042,2,1,
,4,,,,167.05533640499925
0.52,5,175.22371812300116,3,1,
,5,,,,175.28145700900131
0.315,6,179.76009658600015,4,1,
,6,,,,179.82280607099892
