epoch,step,train_BinaryAUROC,train_BinaryAccuracy,train_BinaryF1Score,train_BinaryPrecision,train_BinaryRecall,train_BinarySpecificity,train_loss,val_BinaryAUROC,val_BinaryAccuracy,val_BinaryF1Score,val_BinaryPrecision,val_BinaryRecall,val_BinarySpecificity,val_loss
0,106,,,,,,,,0.9331085681915283,0.8593178391456604,0.8735948801040649,0.793794572353363,0.9712331891059875,0.7471644878387451,0.4372469186782837
0,106,0.9791326522827148,0.9661067128181458,0.9800381660461426,0.9684391021728516,0.9919185042381287,0.8318098783493042,0.11435873806476593,,,,,,,
1,213,,,,,,,,0.9302497506141663,0.8530626893043518,0.8688783645629883,0.7851160764694214,0.9726479649543762,0.7332230806350708,0.45346254110336304
1,213,0.9816824793815613,0.9666961431503296,0.9803512692451477,0.9703958630561829,0.990513026714325,0.8427788019180298,0.1114109680056572,,,,,,,
2,320,,,,,,,,0.932662844657898,0.8561312556266785,0.8712369203567505,0.7891312837600708,0.9724121689796448,0.7396030426025391,0.4354279339313507
2,320,0.9829075336456299,0.9613910913467407,0.9772530198097229,0.9660144448280334,0.9887561202049255,0.8190128207206726,0.111250139772892,,,,,,,
3,427,,,,,,,,0.9330621957778931,0.8606160879135132,0.8738921284675598,0.7985948324203491,0.9648667573928833,0.7561436891555786,0.4128974676132202
3,427,0.9814110994338989,0.9664013981819153,0.9801945686340332,0.9694157838821411,0.9912157654762268,0.837294340133667,0.11138829588890076,,,,,,,
4,534,,,,,,,,0.9313166737556458,0.8347692489624023,0.8561446666717529,0.7586960196495056,0.9823154807090759,0.6869092583656311,0.5119943618774414
4,534,0.9822053909301758,0.9608016610145569,0.9768896698951721,0.9663114547729492,0.9877020120620728,0.8208409547805786,0.11252452433109283,,,,,,,
5,641,,,,,,,,0.9216993451118469,0.847161591053009,0.8619256019592285,0.786687433719635,0.9530770778656006,0.7410207986831665,0.43527838587760925
5,641,0.9829299449920654,0.9619805216789246,0.9776623249053955,0.96381014585495,0.9919185042381287,0.8062157034873962,0.1109025627374649,,,,,,,
6,748,,,,,,,,0.9281637668609619,0.8534167408943176,0.8682926893234253,0.7889766693115234,0.9653383493423462,0.7412570714950562,0.44253721833229065
6,748,0.9832524061203003,0.9619805216789246,0.9776002764701843,0.9663577079772949,0.9891074895858765,0.8208409547805786,0.11087680608034134,,,,,,,
7,855,,,,,,,,0.9324597120285034,0.857311487197876,0.8721041083335876,0.7908672094345093,0.9719405770301819,0.742438554763794,0.44531670212745667
7,855,0.9820614457130432,0.9655172228813171,0.9796839952468872,0.9684174656867981,0.9912157654762268,0.8318098783493042,0.11093279719352722,,,,,,,
8,962,,,,,,,,0.9321164488792419,0.8327628970146179,0.8544726371765137,0.7569141387939453,0.9809007048606873,0.6843100190162659,0.539103627204895
8,962,0.9823055863380432,0.9625700116157532,0.9779475331306458,0.9667009711265564,0.9894589185714722,0.8226690888404846,0.11162836849689484,,,,,,,
9,1069,,,,,,,,0.9338528513908386,0.8635666370391846,0.8767064809799194,0.8003894686698914,0.9691110849380493,0.7577977180480957,0.42308416962623596
9,1069,0.9816973209381104,0.964633047580719,0.979159414768219,0.9680631756782532,0.990513026714325,0.8299817442893982,0.11299627274274826,,,,,,,
10,1176,,,,,,,,0.9217352867126465,0.8520004749298096,0.8640797734260559,0.7995988130569458,0.939872682094574,0.7639414072036743,0.4074033200740814
10,1176,0.9832698106765747,0.9669908881187439,0.9805420637130737,0.969759464263916,0.9915671348571777,0.839122474193573,0.10978429019451141,,,,,,,
11,1283,,,,,,,,0.9343729019165039,0.8645107746124268,0.8773504495620728,0.8021097779273987,0.9681679010391235,0.7606332898139954,0.4101414382457733
11,1283,0.9838427305221558,0.9625700116157532,0.977962851524353,0.966060996055603,0.990161657333374,0.8190128207206726,0.10908927768468857,,,,,,,
12,1390,,,,,,,,0.9317490458488464,0.8613241910934448,0.8745060563087463,0.7992971539497375,0.9653383493423462,0.757088840007782,0.4258612096309662
12,1390,0.9793269634246826,0.9652225375175476,0.9795138835906982,0.9680851101875305,0.9912157654762268,0.8299817442893982,0.11489046365022659,,,,,,,
13,1497,,,,,,,,0.9328579902648926,0.8628584742546082,0.8754020929336548,0.802753210067749,0.9625088572502136,0.7629961967468262,0.4063500463962555
13,1497,0.98243248462677,0.9658119678497314,0.9798471331596375,0.969072163105011,0.9908643960952759,0.835466206073761,0.10976558178663254,,,,,,,
14,1604,,,,,,,,0.9324544668197632,0.8589637875556946,0.8734512329101562,0.7927719950675964,0.9724121689796448,0.7452741265296936,0.434047132730484
14,1604,0.9842493534088135,0.964633047580719,0.9791666865348816,0.9677419066429138,0.9908643960952759,0.8281535506248474,0.10831128060817719,,,,,,,
15,1711,,,,,,,,0.9306109547615051,0.8528266549110413,0.868667721748352,0.7849257588386536,0.9724121689796448,0.7329867482185364,0.4309122860431671
15,1711,0.9868007898330688,0.9687592387199402,0.9815652370452881,0.9717630743980408,0.9915671348571777,0.8500913977622986,0.10200835764408112,,,,,,,
16,1818,,,,,,,,0.9342959523200989,0.8668712377548218,0.8779220581054688,0.8113622665405273,0.9563782215118408,0.7771739363670349,0.3891523480415344
16,1818,0.9854832887649536,0.9652225375175476,0.9794782400131226,0.9696969985961914,0.9894589185714722,0.839122474193573,0.10412207245826721,,,,,,,
17,1925,,,,,,,,0.9341082572937012,0.8531807065010071,0.8693552017211914,0.7837530970573425,0.9759490489959717,0.7301512360572815,0.45937031507492065
17,1925,0.9861176609992981,0.967875063419342,0.9810730814933777,0.9697905778884888,0.9926212430000305,0.839122474193573,0.10350193083286285,,,,,,,
