fooling_rate,step,time_elapsed,uap,uap_step,uap_time_elapsed
0.275,0,372.6380193750001,0,1,
,0,,,,372.718078893
0.07,1,364.03222022,1,1,
0.205,2,341.37141044300006,1,2,
,2,,,,705.4925788490004
0.125,3,341.82151890599926,2,1,
0.37,4,336.5443782680004,2,2,
,4,,,,678.4562222969998
0.29,5,367.6847728600005,3,1,
,5,,,,367.76580721199934
0.01,6,372.25195551900015,4,1,
0.005,7,378.1200181489994,4,2,
0.06,8,306.0054117790005,4,3,
0.01,9,317.980352648,4,4,
0.005,10,391.36347256299996,4,5,
0.545,11,318.26030862800053,4,6,
,11,,,,2084.08448135
