fooling_rate,step,time_elapsed,uap,uap_step,uap_time_elapsed
0.03,0,29.782149811999716,0,1,
0.55,1,24.264393584999652,0,2,
,1,,,,54.22932275999983
0.24,2,26.59204233699984,1,1,
,2,,,,26.785489619000145
0.075,3,29.13373364400013,2,1,
0.115,4,32.74095759900001,2,2,
0.165,5,35.84075798699996,2,3,
0.395,6,32.33715165000012,2,4,
,6,,,,130.2631612790001
0.095,7,25.937719315000322,3,1,
0.25,8,24.391717845999665,3,2,
,8,,,,50.54150162299993
0.47,9,24.6689176509999,4,1,
,9,,,,24.87021677699977
