epoch,step,train_BinaryAUROC,train_BinaryAccuracy,train_BinaryF1Score,train_BinaryPrecision,train_BinaryRecall,train_BinarySpecificity,train_loss,val_BinaryAUROC,val_BinaryAccuracy,val_BinaryF1Score,val_BinaryPrecision,val_BinaryRecall,val_BinarySpecificity,val_loss
0,61,,,,,,,,0.9998183250427246,0.9877622127532959,0.9929648041725159,0.9860279560089111,1.0,0.9102563858032227,0.03101431578397751
0,61,0.0,0.9979808330535889,0.9989894032478333,1.0,0.9979808330535889,0.0,0.008021959103643894,,,,,,,
1,123,,,,,,,,0.9998183846473694,0.9895104765892029,0.9939637780189514,0.9879999756813049,1.0,0.9230769276618958,0.026870116591453552
1,123,0.0,0.9984856247901917,0.9992422461509705,1.0,0.9984856247901917,0.0,0.00823887251317501,,,,,,,
2,185,,,,,,,,0.9998442530632019,0.9877622127532959,0.9929648041725159,0.9860279560089111,1.0,0.9102563858032227,0.031317953020334244
2,185,0.0,0.9974760413169861,0.9987364411354065,1.0,0.9974760413169861,0.0,0.00909141544252634,,,,,,,
3,247,,,,,,,,0.9998183250427246,0.9877622127532959,0.9929648041725159,0.9860279560089111,1.0,0.9102563858032227,0.03534695878624916
3,247,0.0,0.9969712495803833,0.9984833002090454,1.0,0.9969712495803833,0.0,0.008915849961340427,,,,,,,
4,309,,,,,,,,0.9997145533561707,0.9860140085220337,0.9919517040252686,0.9860000014305115,0.9979757070541382,0.9102563858032227,0.04250055178999901
4,309,0.0,0.9984856247901917,0.9992422461509705,1.0,0.9984856247901917,0.0,0.007617561146616936,,,,,,,
5,371,,,,,,,,0.9998443126678467,0.9877622127532959,0.9929648041725159,0.9860279560089111,1.0,0.9102563858032227,0.03328779712319374
5,371,0.0,0.9969712495803833,0.9984833002090454,1.0,0.9969712495803833,0.0,0.009494760073721409,,,,,,,
6,433,,,,,,,,0.9997923970222473,0.9877622127532959,0.9929648041725159,0.9860279560089111,1.0,0.9102563858032227,0.03338799625635147
6,433,0.0,0.9974760413169861,0.9987364411354065,1.0,0.9974760413169861,0.0,0.0074079264886677265,,,,,,,
7,495,,,,,,,,0.9998183846473694,0.9790209531784058,0.9879999756813049,0.9762845635414124,1.0,0.8461538553237915,0.0507577545940876
7,495,0.0,0.9979808330535889,0.9989894032478333,1.0,0.9979808330535889,0.0,0.0074593685567379,,,,,,,
8,557,,,,,,,,0.9997923970222473,0.9877622127532959,0.9929648041725159,0.9860279560089111,1.0,0.9102563858032227,0.046842582523822784
8,557,0.0,0.9974760413169861,0.9987364411354065,1.0,0.9974760413169861,0.0,0.007607688196003437,,,,,,,
