fooling_rate,step,time_elapsed,uap,uap_step,uap_time_elapsed
0.23,0,2.9428216609999254,0,1,
,0,,,,2.9999573760001113
0.11,1,2.8066700459999083,1,1,
0.15,2,2.417914331999782,1,2,
0.135,3,2.529601048999666,1,3,
0.055,4,3.2336223530001007,1,4,
0.765,5,3.8783014629998434,1,5,
,5,,,,14.950072210999679
0.675,6,2.464138040999842,2,1,
,6,,,,2.523627988000044
0.045,7,2.6931939430000966,3,1,
0.36,8,2.456230201999915,3,2,
,8,,,,5.217650537999816
0.92,9,2.271418174000246,4,1,
,9,,,,2.3342252999996163
