fooling_rate,step,time_elapsed,uap,uap_step,uap_time_elapsed
0.0,0,55.33865990300001,0,1,
0.0,1,24.880683069000042,0,2,
0.0,2,11.667506333999881,0,3,
0.175,3,15.46304100999987,0,4,
0.11,4,11.04706957899998,0,5,
0.005,5,32.61393576900082,0,6,
0.29,6,23.119234595999842,0,7,
,6,,,,174.21473444499952
0.0,7,54.985064308999426,1,1,
0.0,8,56.3034449099996,1,2,
0.025,9,15.639042681999854,1,3,
0.0,10,13.790692985000533,1,4,
0.0,11,18.432790458000454,1,5,
0.045,12,19.250090762000582,1,6,
0.0,13,13.658670104000521,1,7,
0.0,14,27.757625395000105,1,8,
0.215,15,28.741408072999548,1,9,
,15,,,,248.651323262
0.0,16,39.445842349000486,2,1,
0.1,17,11.5216153450001,2,2,
0.0,18,16.152305155999784,2,3,
0.02,19,18.28178286399998,2,4,
0.29,20,26.702877989000626,2,5,
,20,,,,112.19110761999946
0.0,21,56.51349538799968,3,1,
0.0,22,56.60694766100005,3,2,
0.005,23,54.25058650599931,3,3,
0.395,24,9.20867907199954,3,4,
,24,,,,176.65616151199993
0.0,25,56.893903193999904,4,1,
0.325,26,16.843938119000086,4,2,
,26,,,,73.80773860900081
