fooling_rate,step,time_elapsed,uap,uap_step,uap_time_elapsed
0.405,0,108.22226297199995,0,1,
,0,,,,108.41873333100011
0.22,1,143.25894122000022,1,1,
,1,,,,143.46421894499986
0.26,2,136.73894887899996,2,1,
,2,,,,136.94689894600015
0.17,3,109.98487149899984,3,1,
0.38,4,127.79671944700021,3,2,
,4,,,,237.99424137000005
0.34,5,128.63069592600004,4,1,
,5,,,,128.83719206900014
