fooling_rate,step,time_elapsed,uap,uap_step
0.0,0,452.821983304,0,1
0.0,1,445.604361166,0,2
0.0,2,447.57984328999987,0,3
0.0,3,451.55476215499993,0,4
0.0,4,454.1448816940001,0,5
0.0,5,454.5660257909999,0,6
0.0,6,454.9515376950003,0,7
0.0,7,453.56490481199944,0,8
0.0,8,453.9193987669996,0,9
0.0,9,449.6104030919996,0,10
0.0,10,453.46226165900043,0,11
0.0,11,454.9381750450002,0,12
0.0,12,450.7129157549998,0,13
0.0,13,455.9954907430001,0,14
0.0,14,452.57287767399976,0,15
0.0,15,450.61524803500015,0,16
