epoch,step,train_BinaryAUROC,train_BinaryAccuracy,train_BinaryF1Score,train_BinaryPrecision,train_BinaryRecall,train_BinarySpecificity,train_loss,val_BinaryAUROC,val_BinaryAccuracy,val_BinaryF1Score,val_BinaryPrecision,val_BinaryRecall,val_BinarySpecificity,val_loss
0,61,,,,,,,,0.948432445526123,0.8916084170341492,0.9409523606300354,0.8884891867637634,1.0,0.20512820780277252,0.31338927149772644
0,61,0.0,0.9984856247901917,0.9992422461509705,1.0,0.9984856247901917,0.0,0.007899180054664612,,,,,,,
1,123,,,,,,,,0.9513131380081177,0.868881106376648,0.9294449687004089,0.868189811706543,1.0,0.03846153989434242,0.4658440351486206
1,123,0.0,1.0,1.0,1.0,1.0,0.0,0.0008370982832275331,,,,,,,
2,185,,,,,,,,0.9481730461120605,0.868881106376648,0.9294449687004089,0.868189811706543,1.0,0.03846153989434242,0.5062310099601746
2,185,0.0,1.0,1.0,1.0,1.0,0.0,0.00042838137596845627,,,,,,,
3,247,,,,,,,,0.9516375660896301,0.867132842540741,0.9285714030265808,0.8666666746139526,1.0,0.025641025975346565,0.5193760991096497
3,247,0.0,1.0,1.0,1.0,1.0,0.0,0.00032138635287992656,,,,,,,
4,309,,,,,,,,0.953558087348938,0.867132842540741,0.9285714030265808,0.8666666746139526,1.0,0.025641025975346565,0.5494006872177124
4,309,0.0,1.0,1.0,1.0,1.0,0.0,0.00024894101079553366,,,,,,,
5,371,,,,,,,,0.9535710215568542,0.867132842540741,0.9285714030265808,0.8666666746139526,1.0,0.025641025975346565,0.5759844779968262
5,371,0.0,1.0,1.0,1.0,1.0,0.0,0.00020625203615054488,,,,,,,
6,433,,,,,,,,0.9556862115859985,0.867132842540741,0.9285714030265808,0.8666666746139526,1.0,0.025641025975346565,0.5963230729103088
6,433,0.0,1.0,1.0,1.0,1.0,0.0,0.00018478199490346014,,,,,,,
7,495,,,,,,,,0.9524551033973694,0.867132842540741,0.9285714030265808,0.8666666746139526,1.0,0.025641025975346565,0.6097433567047119
7,495,0.0,1.0,1.0,1.0,1.0,0.0,0.00016860253526829183,,,,,,,
8,557,,,,,,,,0.9535709619522095,0.867132842540741,0.9285714030265808,0.8666666746139526,1.0,0.025641025975346565,0.6182743906974792
8,557,0.0,1.0,1.0,1.0,1.0,0.0,0.00015624036313965917,,,,,,,
9,619,,,,,,,,0.9515726566314697,0.8653846383094788,0.9276995062828064,0.8651488423347473,1.0,0.012820512987673283,0.6474006772041321
9,619,0.0,1.0,1.0,1.0,1.0,0.0,0.0001490539580117911,,,,,,,
10,681,,,,,,,,0.9547388553619385,0.867132842540741,0.9285714030265808,0.8666666746139526,1.0,0.025641025975346565,0.6461338400840759
10,681,0.0,1.0,1.0,1.0,1.0,0.0,0.00014040974201634526,,,,,,,
11,743,,,,,,,,0.95381760597229,0.8653846383094788,0.9276995062828064,0.8651488423347473,1.0,0.012820512987673283,0.6599723100662231
11,743,0.0,1.0,1.0,1.0,1.0,0.0,0.00013831669639330357,,,,,,,
12,805,,,,,,,,0.9556083679199219,0.8653846383094788,0.9276995062828064,0.8651488423347473,1.0,0.012820512987673283,0.666258692741394
12,805,0.0,1.0,1.0,1.0,1.0,0.0,0.00013422917982097715,,,,,,,
13,867,,,,,,,,0.9570487141609192,0.8636363744735718,0.9268292784690857,0.8636363744735718,1.0,0.0,0.6821672320365906
13,867,0.0,1.0,1.0,1.0,1.0,0.0,0.000133695182739757,,,,,,,
14,929,,,,,,,,0.9536229372024536,0.8636363744735718,0.9268292784690857,0.8636363744735718,1.0,0.0,0.7034094929695129
14,929,0.0,1.0,1.0,1.0,1.0,0.0,0.00013058500189799815,,,,,,,
15,991,,,,,,,,0.954479455947876,0.8636363744735718,0.9268292784690857,0.8636363744735718,1.0,0.0,0.699789822101593
15,991,0.0,1.0,1.0,1.0,1.0,0.0,0.00012924737529829144,,,,,,,
16,1053,,,,,,,,0.9539344310760498,0.8636363744735718,0.9268292784690857,0.8636363744735718,1.0,0.0,0.7123399376869202
16,1053,0.0,1.0,1.0,1.0,1.0,0.0,0.0001283154997508973,,,,,,,
17,1115,,,,,,,,0.9494056701660156,0.8636363744735718,0.9268292784690857,0.8636363744735718,1.0,0.0,0.7160143852233887
17,1115,0.0,1.0,1.0,1.0,1.0,0.0,0.0001275478134630248,,,,,,,
18,1177,,,,,,,,0.9497041702270508,0.8636363744735718,0.9268292784690857,0.8636363744735718,1.0,0.0,0.7298590540885925
18,1177,0.0,1.0,1.0,1.0,1.0,0.0,0.00012716528726741672,,,,,,,
19,1239,,,,,,,,0.9489774703979492,0.8636363744735718,0.9268292784690857,0.8636363744735718,1.0,0.0,0.7422534227371216
19,1239,0.0,1.0,1.0,1.0,1.0,0.0,0.00012670802243519574,,,,,,,
20,1301,,,,,,,,0.9511834383010864,0.8636363744735718,0.9268292784690857,0.8636363744735718,1.0,0.0,0.7392852306365967
20,1301,0.0,1.0,1.0,1.0,1.0,0.0,0.00012673198943957686,,,,,,,
