fooling_rate,step,time_elapsed,uap,uap_step,uap_time_elapsed
0.0,0,27.513061460000017,0,1,
0.035,1,34.64618366600007,0,2,
0.32,2,34.42857295900001,0,3,
,2,,,,96.74131832299997
0.255,3,30.947215267999923,1,1,
,3,,,,31.11559602300008
0.01,4,27.83425851700008,2,1,
0.0,5,24.592775154000037,2,2,
0.36,6,36.904741228000034,2,3,
,6,,,,89.505285878
0.085,7,28.867888344999983,3,1,
0.0,8,34.19788712000002,3,2,
0.15,9,32.46445795500006,3,3,
0.01,10,38.722683249000056,3,4,
0.005,11,45.74393782199991,3,5,
0.5,12,53.66234451299988,3,6,
,12,,,,233.8530605499999
0.01,13,27.630601092999996,4,1,
0.01,14,24.675474167999937,4,2,
0.015,15,35.675763061,4,3,
0.0,16,39.17553243399993,4,4,
0.055,17,54.234211161000076,4,5,
0.025,18,65.2295737070001,4,6,
0.085,19,40.99047157199993,4,7,
0.015,20,53.587841227000126,4,8,
0.235,21,52.01948304200005,4,9,
,21,,,,393.416857491
